No.;Time;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
346;5,943322;;5,943322;5,943507;0,000185;;0,003512;-0,003641;-0,007153
347;5,943507;;5,943507;5,947204;0,003697;;-0,003641;0,025158;0,028799
348;5,947204;;5,947204;5,94726;5,6E-05;;0,025158;-0,025154;-0,050312
349;5,94726;;5,94726;5,972474;0,025214;;-0,025154;0,000582;0,025736
350;5,972474;;5,972474;5,972534;6E-05;;0,000582;-0,000613;-0,001195
351;5,972534;;5,972534;5,973176;0,000642;;-0,000613;0,017006;0,017619
352;5,973176;;5,973176;5,973205;2,9E-05;;0,017006;-0,012251;-0,029257
353;5,973205;;5,973205;5,99024;0,017035;;-0,012251;-0,004731;0,00752
354;5,99024;;5,99024;5,995024;0,004784;;-0,004731;0,00363;0,008361
355;5,995024;;5,995024;5,995077;5,3E-05;;0,00363;-0,003636;-0,007266
356;5,995077;;5,995077;5,99876;0,003683;;-0,003636;0,00476;0,008396
357;5,99876;;5,99876;5,998807;4,7E-05;;0,00476;-0,004717;-0,009477
358;5,998807;;5,998807;6,003614;0,004807;;-0,004717;0,007892;0,012609
